,,,DESCRIPTION,QTY,Supplier Price,MARKUP %,,CX PRICE with markup,UNIT,SUPPLIER,MATERIAL TYPE,NOTES,LINK,TIMESTAMP,URL
,SHEATHING,ST-1,"4x8'-1/2"" SE Advantec Sheathing Struct 1",-,$29.76,28.00%,,$38.09,sheets,Gillies & Prittie Warehouse,Sheathing,,,,
,,,"4x8'-5/8"" SE Advantec Sheathing Struct 1",-,$33.28,28.00%,,$42.60,sheets,Gillies & Prittie Warehouse,Sheathing,,,,
,,PT,"4x8'-1/2"" PT CDX",-,$33.28,28.00%,,$42.60,sheets,Gillies & Prittie Warehouse,Sheathing,,1/2 in. x 4 ft. x 8 ft. CDX Ground Contact Pressure-Treated Pine Plywood,,https://www.homedepot.com/p/1-2-in-x-4-ft-x-8-ft-CDX-Ground-Contact-Pressure-Treated-Pine-Plywood-131876/206970940
,,,"4x8'-3/4"" PT CDX",-,$50.46,28.00%,,$64.59,sheets,Gillies & Prittie Warehouse,Sheathing,,3/4 in. x 4 ft. x 8 ft. Ground Contact Pressure Treated Pine Performance Rated Sheathing Plywood,,https://www.homedepot.com/p/3-4-in-x-4-ft-x-8-ft-Ground-Contact-Pressure-Treated-Pine-Performance-Rated-Sheathing-Plywood-106128/206971071
,,,"4x8'-3/4"" PT Southern Yellow Pine Plywood Sheathing",-,$45.34,15.00%,,$52.14,sheets,Lowes,Sheathing,,3/4-in x 4-ft x 8-ft Pressure Treated Southern Yellow Pine Plywood Sheathing,,https://www.lowes.com/pd/Pyro-Guard-3-4-CAT-PS1-09-Square-Structural-Plywood-Pressure-Treated-Southern-Yellow-Pine-Application-as-4-x-8/50318425
,,OSB,"4x8'-1/2"" OSB SE",-,$9.44,28.00%,,$12.08,sheets,Gillies & Prittie Warehouse,Sheathing,,,,
,,,"4x8'-5/8"" OSB SE",-,$17.50,28.00%,,$22.40,sheets,Gillies & Prittie Warehouse,Sheathing,,,,
,,T&G,"4x8'-3/4"" OSB T&G",-,$15.97,28.00%,,$20.44,sheets,Gillies & Prittie Warehouse,Sheathing,,23/32 in. T&G OSB Subfloor (Common: 23/32 in. x 4 ft. x 8 ft.; Actual: 0.703 in. x 47.875 in. x 95.875 in.) 920924 - The Home Depot,,https://www.homedepot.com/p/23-32-in-T-G-OSB-Subfloor-Common-23-32-in-x-4-ft-x-8-ft-Actual-0-703-in-x-47-875-in-x-95-875-in-920924/100054132
,,,"4x8'-5/8"" OSB T&G",-,$14.88,28.00%,,$19.05,sheets,Gillies & Prittie Warehouse,Sheathing,,,,
,,,"4x8'-3/4"" CDX T&G - Dryply",-,$52.00,15.00%,,$59.80,sheets,Home Depot,Sheathing,,23/32in. x 4 ft. x 8 ft T&G Dryply Plywood (Actual: 0.703 in. x 48 in. x 96 in.) 673014 - The Home Depot,6/2/2025,https://www.homedepot.com/p/23-32in-x-4-ft-x-8-ft-T-G-Dryply-Plywood-Actual-0-703-in-x-48-in-x-96-in-673014/202522977
,,,"4x8'-3/4"" OSB T&G - LP TN350",-,$32.00,20.00%,,$38.40,sheets,HardPine,Sheathing,,,,
,,,"4x8'-3/4"" OSB T&G - LP TN250",,$21.00,25.00%,,$26.25,sheets,BlueLinx,Sheathing,,,,
,,,"4x8'-3/4"" T&G Advantech",-,$37.31,28.00%,,$47.76,sheets,Gillies & Prittie Warehouse,Sheathing,,,,
,,,"4x8'-5/8"" T&G Advantech",-,$33.44,28.00%,,$42.80,sheets,Gillies & Prittie Warehouse,Sheathing,,,,
,,CDX,"4x8'-1/2"" CDX SE",-,$25.12,28.00%,,$32.15,sheets,Gillies & Prittie Warehouse,Sheathing,,,,
,,,"4x8'-3/4"" CDX SE",-,$31.52,28.00%,,$40.35,sheets,Gillies & Prittie Warehouse,Sheathing,,,,
,,,"4x8'-5/8"" CDX SE",-,$25.44,28.00%,,$32.56,sheets,Gillies & Prittie Warehouse,Sheathing,,,,
,,ZIP,"4x8'-7/16"" Green Zip",-,$26.77,28.00%,,$34.27,sheets,Gillies & Prittie Warehouse,Sheathing,,,,
,,,"4x8'-1/2"" Brown Zip",-,$29.93,28.00%,,$38.31,sheets,Gillies & Prittie Warehouse,Sheathing,,,,
,,,"4x8'-5/8"" Brown Zip",-,$35.48,28.00%,,$45.42,sheets,Gillies & Prittie Warehouse,Sheathing,,,,
,,ZIP-R,"4x8'x1""(R-3) Green Zip",-,$61.07,28.00%,,$78.17,sheets,Gillies & Prittie Warehouse,Sheathing,,,,
,,,"4x8'x1-1/2""(R-6) Green Zip",-,$68.92,28.00%,,$88.22,sheets,Gillies & Prittie Warehouse,Sheathing,,,,
,,,"4x8'x2""(R-9) Green Zip",-,$88.09,28.00%,,$112.76,sheets,Gillies & Prittie Warehouse,Sheathing,,,,
,,,"4x8'x2-1/2""(R-12) Green Zip",-,$88.09,28.00%,,$112.76,sheets,Gillies & Prittie Warehouse,Sheathing,,,,
,,FRT,"4x8'-1/2"" FRT LP Flameblock",-,$49.57,25.00%,,$61.96,sheets,BlueLinx,Sheathing,,,,
,,,"4x8'-19/32"" FRT CDX",-,$43.50,25.00%,,$54.38,sheets,BFS,Sheathing,,,,
,,,"4x8'-7/16"" FRT LP Flameblock 2 sides",-,$113.66,25.00%,,$142.08,sheets,BFS,Sheathing,,,,
,,,"4x8'-1/2"" FRT LP Flameblock 2 sides",-,$122.21,25.00%,,$152.76,sheets,BFS,Sheathing,,,,
